2018-01-19 11:05:04,843 DEBUG ['block2_conv1', False]
2018-01-19 11:05:04,843 DEBUG ['block2_conv2', False]
2018-01-19 11:05:04,844 DEBUG ['block2_pool', False]
2018-01-19 11:05:04,844 DEBUG ['block3_conv1', False]
2018-01-19 11:05:04,844 DEBUG ['block3_conv2', False]
2018-01-19 11:05:04,844 DEBUG ['block3_conv3', False]
2018-01-19 11:05:04,844 DEBUG ['block3_pool', False]
2018-01-19 11:05:04,844 DEBUG ['pool', True]
2018-01-19 11:05:04,844 DEBUG ['fc1', True]
2018-01-19 11:05:04,844 DEBUG ['fc2', True]
2018-01-19 11:05:04,844 DEBUG ['predictions', True]
2018-01-19 11:10:35,641 INFO Start
2018-01-19 11:10:41,466 DEBUG ['input_1', False]
2018-01-19 11:10:41,466 DEBUG ['block1_conv1', False]
2018-01-19 11:10:41,467 DEBUG ['block1_conv2', False]
2018-01-19 11:10:41,467 DEBUG ['block1_pool', False]
2018-01-19 11:10:41,467 DEBUG ['block2_conv1', False]
2018-01-19 11:10:41,467 DEBUG ['block2_conv2', False]
2018-01-19 11:10:41,467 DEBUG ['block2_pool', False]
2018-01-19 11:10:41,467 DEBUG ['block3_conv1', False]
2018-01-19 11:10:41,467 DEBUG ['block3_conv2', False]
2018-01-19 11:10:41,467 DEBUG ['block3_conv3', False]
2018-01-19 11:10:41,467 DEBUG ['block3_pool', False]
2018-01-19 11:10:41,467 DEBUG ['pool', True]
2018-01-19 11:10:41,468 DEBUG ['fc1', True]
2018-01-19 11:10:41,468 DEBUG ['fc2', True]
2018-01-19 11:10:41,468 DEBUG ['predictions', True]
2018-01-19 11:11:16,133 INFO Start
2018-01-19 11:11:21,586 DEBUG ['input_1', False]
2018-01-19 11:11:21,587 DEBUG ['block1_conv1', False]
2018-01-19 11:11:21,587 DEBUG ['block1_conv2', False]
2018-01-19 11:11:21,587 DEBUG ['block1_pool', False]
2018-01-19 11:11:21,587 DEBUG ['block2_conv1', False]
2018-01-19 11:11:21,587 DEBUG ['block2_conv2', False]
2018-01-19 11:11:21,587 DEBUG ['block2_pool', False]
2018-01-19 11:11:21,588 DEBUG ['block3_conv1', False]
2018-01-19 11:11:21,590 DEBUG ['block3_conv2', False]
2018-01-19 11:11:21,591 DEBUG ['block3_conv3', False]
2018-01-19 11:11:21,591 DEBUG ['block3_pool', False]
2018-01-19 11:11:21,591 DEBUG ['pool', True]
2018-01-19 11:11:21,591 DEBUG ['fc1', True]
2018-01-19 11:11:21,591 DEBUG ['fc2', True]
